victim.country.,actor.external.country.,actor.partner.country.,action.hacking.vector.,action.malware.vector.,action.misuse.vector.,action.physical.vector.,action.social.vector.,victim.industry2.
US,,,,,LAN access,,,62
IN,Unknown,,Web application,,,,,92
US,Unknown,,Web application,,,,,42
AU,Unknown,,Unknown,,,,,81
IL,Unknown,,,,,Personal residence,,92
AU,Unknown,,,,,,,52
US,,,,,,,,61
CA,,,,,LAN access,,,62
US,Unknown,,Unknown,Unknown,,,,72
US,Unknown,,,,,Victim work area,In-person,62
GB,,,,,,,,92
PS,JO,,Web application,,,,,92
US,Unknown,,Web application,Unknown,,,,51
US,,Unknown,,,,,,92
AM,AZ,,Unknown,,,,,92
US,,PH,,,Physical access,,,51
US,Unknown,,,,,Victim public area,,44
US,,,,,,,,92
US,Unknown,,,,,Victim secure area,,62
US,,,,,LAN access,,,92
US,,Unknown,,,,,,62
US,,,,,,,,92
US,Unknown,,,,,Unknown,,92
US,Unknown,,,,,Victim public area,,52
US,,,,,LAN access,,,92
US,Unknown,,Unknown,,,,,56
US,,,,,,,,61
US,,,,,,,,62
GB,,,,,,,,92
IN,Unknown,,Web application,,,,,51
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Victim work area,,62
US,,,,,,Victim secure area,,52
US,,,,,,,,42
AU,Unknown,,Unknown,,,,Email,71
US,,,,,,,,92
US,US,,,,LAN access,,,61
US,,,,,,,,51
GB,IT,,Web application,,,,,00
GB,,,,,,,,51
US,,Unknown,,,,,,62
US,Unknown,,Backdoor or C2,Unknown,,,,61
US,Unknown,,,Email attachment,,,Email,62
TR,BZ,,Web application,,,,,92
US,Unknown,,,,,Unknown,,44
US,,,,,,,,52
US,,,,,,,,92
Unknown,Unknown,,,Unknown,,,,32
US,,,,,,,,92
US,,,,,,,,71
US,,,,,,,,62
US,,,,,,,,92
US,Unknown,,,Unknown,,,,62
AU,ID,,Web application,,,,,92
BS,Unknown,,Unknown,,,,,52
US,,,,,LAN access,,,52
US,Unknown,,Web application,,,,,51
US,Unknown,,,,,,Email,56
US,Unknown,,Unknown,,,,,92
US,,,,,,,,92
US,,,,,,Partner facility,,62
US,,Unknown,,,,Privileged access,,56
GB,Unknown,,,Unknown,,,,92
US,Unknown,Unknown,Unknown,,,,,51
US,Unknown,,,,,Victim public area,,44
US,,,,,,,,92
US,,,,,,,,61
US,,,,,,,,54
US,,,,,Physical access,,,81
SG,,,,,,,,32
US,,,,,,,,92
US,Unknown,,,,,Victim work area,,56
US,Unknown,,,,,Partner facility,,00
US,,,,,Unknown,,,62
US,AU,,Other,,,,,54
US,,,,,,,,92
US,Unknown,,,,,Victim work area,,52
US,Unknown,,,,,Personal vehicle,,62
US,Unknown,,Web application,Email attachment,,,Email,53
US,Unknown,,,Unknown,,,,61
US,,,,,,,,92
US,,,,,,,,92
US,Unknown,,Web application,,,,,62
US,,,,,,Victim work area,,61
GB,,,,,,,,62
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Partner facility,,62
GB,,,,,,,,92
US,,Unknown,,,Physical access,,,62
GB,,,,,,,,44
US,,,,,,,,92
US,,,,,,,,92
GB,,,,,,,,92
US,,US,,,,,,62
CA,,,,,,,,81
US,,,,,LAN access,,,92
GB,,,,,,,,92
US,,,Physical access,,,Victim public area,,61
US,Unknown,,Unknown,,,,,62
US,,,,,LAN access,,,54
US,,,,,,,,62
NZ,NZ,,,,,,,51
US,US,,Web application,,,,,92
US,US,,Web application,,,,,51
US,,,,,,,,92
US,,,,,,,,52
US,Unknown,,,,,Victim work area,,42
AU,,,,,,,,54
UM,Unknown,,,,,Partner facility,,62
US,,,,,,,,54
US,,,,,LAN access,,,62
US,,,,,LAN access,,,92
GB,,,,,LAN access,,,52
US,Unknown,,Web application,,,,,51
US,Unknown,,,,,Unknown,,62
GE,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,Unknown,,,,,53
US,TR,,Unknown,,,,,92
US,,,,,,,,54
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Personal vehicle,,52
US,,,Web application,,,,,52
US,Unknown,,,,,Victim work area,,62
US,,,,,LAN access,,,92
US,,,,,,,,92
US,Unknown,,,,,Victim work area,,92
US,Unknown,,,,,Personal vehicle,,62
GB,,,,,,,,92
US,Unknown,,Web application,,,,,52
US,,,,,,,,92
US,Unknown,,,Unknown,,,Email,62
US,Unknown,,Web application,,,,,61
GB,,,,,,,,92
GB,,,,,,,,61
US,,,,,LAN access,,,92
GB,,,,,Non-corporate,,,81
TL,AU,,,,,Unknown,,92
US,Unknown,,Unknown,,,,,22
DE,Unknown,,Unknown,,,,,51
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,,,62
US,,,,,,,,62
US,,,,,,,,62
US,Unknown,,,,LAN access,,,62
US,,,,,LAN access,,,72
US,Unknown,,,,,Victim work area,,62
US,Unknown,,,,LAN access,,,62
US,,Unknown,,,,,,00
US,,Unknown,,,,,,62
US,,,,,,,,61
US,Unknown,,Web application,,,,,00
US,Unknown,,,,,Unknown,,52
PY,Unknown,,Unknown,,,,,51
CL,,,,,,,,00
US,Unknown,,Unknown,,,,,51
US,,,,,,,,44
IE,,IE,,,,,,52
US,,,,,,Victim work area,,33
US,,,,,LAN access,,,92
US,,,,,,,,92
Unknown,Unknown,,,,,Victim grounds,,00
US,,,,,,,,92
US,US,,,,,Partner facility,,62
US,,,,,LAN access,,,54
US,,,Other,,,,,61
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Unknown,,62
US,Unknown,,Web application,,,,,52
US,,,,,,,,92
US,Unknown,,,,,Personal residence,,62
US,,,,,,,,92
US,,,,,LAN access,,,62
US,Unknown,,Web application,,,,,51
US,,,,,,,,92
US,Unknown,,Web application,,,,Email,62
US,,,,,,,,92
US,,,,,Physical access,,,62
IL,Unknown,,Web application,,,,,00
US,Unknown,,Web application,,,,,62
US,US,,,,,Victim work area,,54
US,Unknown,,Web application,,,,,51
US,Unknown,,,,,Victim public area,,44
US,Unknown,,,,,Victim work area,,54
US,Unknown,,,,,Public facility,,61
US,Unknown,,Web application,,,,Email,62
US,,,,,,,,92
US,,,,,,,,62
GB,,,,,,,,62
US,Unknown,,Web application,,,,,81
FR,FR,,Web application,,,,,00
US,CN,,Unknown,,,,,00
KR,KP,,Backdoor or C2,Email attachment,,,Email,00
US,Unknown,,,,,Victim work area,,62
US,US,,,,,Personal vehicle,,62
US,,US,,,,,,62
US,,,,,LAN access,,,61
US,,,,,,,,62
US,,,,,,,,92
US,Unknown,,Web application,,,,,92
GB,,,,,,,,62
US,,,,,,,,54
US,Unknown,,Web application,,,,,51
US,,US,,,,,,52
US,,,,,,,,62
US,Unknown,,,,,Other,,62
US,,,,,,,,62
VN,VN,,Unknown,,,,,51
US,Unknown,,Web application,,,,,92
Unknown,,,,,,,,62
US,Unknown,,Unknown,,,,,45
US,Unknown,,Unknown,Unknown,,,Email,92
US,,,,,,Victim work area,,49
GB,,,,,Physical access,,,92
AE,Unknown,,Web application,,,,,51
US,Unknown,,,,,Personal vehicle,,62
US,Unknown,,,Unknown,,,,45
US,,,,,LAN access,,,52
CA,,,,,LAN access,,,62
US,,,,,LAN access,,,62
CA,Unknown,,,Email attachment,,,Phone,54
GB,,,,,,,,55
US,,,,,,,,92
US,Unknown,,Web application,,,,,33
IS,TR,,Web application,,,,,51
US,Unknown,,Web application,,,,,51
CZ,Unknown,,Web application,,,,,52
US,,,,,,,,62
US,,,,,Physical access,,,92
AU,Unknown,,,,,Personal vehicle,,52
US,,,,,,,,52
US,Unknown,,,,,,In-person,92
US,Unknown,,,,,,Email,61
US,,,,,,,,92
GB,,,,,,,,92
US,,,,,LAN access,,,92
US,,,,,,,,42
US,Unknown,,,,,Unknown,,62
CA,,,,,LAN access,,,52
US,Unknown,,,,,Victim public area,,72
US,Unknown,,,Email attachment,,,,51
US,Unknown,,,Unknown,,,,62
US,Unknown,,,,,,,48
US,,,,,Physical access,,,92
US,Unknown,,,,,,,51
US,,,,,,,,62
US,Unknown,,Web application,,,,,44
US,Unknown,,Web application,,,,,56
ZA,,,,,,,,23
US,,,,,,,,62
US,,,,,Physical access,,,72
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,,,,,LAN access,,,92
US,Unknown,,,,,Personal vehicle,,52
US,Unknown,,,,,Personal vehicle,,92
US,,,,,,,,62
US,,,,,,,,52
US,Unknown,,,Unknown,,,Other,92
US,,Unknown,,,LAN access,,,62
US,,,,,,,,61
US,,,,,,Victim secure area,,61
US,Unknown,,Web application,,,,,44
US,,,,,Unknown,,,44
CA,Unknown,,Unknown,,,,,00
US,Unknown,,,Unknown,,,,62
US,Other,,Web application,,,,,21
US,,,,,LAN access,,,48
US,,,,,,,,62
US,,,,,Physical access,,,62
