victim.country.,actor.external.country.,actor.partner.country.,action.hacking.vector.,action.malware.vector.,action.misuse.vector.,action.physical.vector.,action.social.vector.,victim.industry2.
AU,Unknown,,,,,,Email,72
NL,NL,,,,Remote access,,,51
US,,,,,,,,92
US,,,,,,,,92
GB,,,,,,,,92
US,,,,,Physical access,,,92
JP,Unknown,,Web application,,,,,52
US,,,,,,,,92
US,,,,,,Victim work area,,62
US,Unknown,,,,,Personal vehicle,,62
US,Unknown,,,,,Unknown,,62
GB,,,,,,Victim secure area,,62
US,,,,,,,,48
US,,,,,LAN access,,,61
US,Unknown,,Web application,,,,,92
US,,,,,Unknown,,,92
US,,Unknown,,,,,,52
US,Unknown,,Web application,,,,,62
AU,,,,,,,,92
LV,Unknown,,Unknown,,,,,92
US,,,,,,,,54
US,Unknown,,,Unknown,,,,54
US,Unknown,,,Unknown,,,,
CA,CN,,Unknown,,,,,54
US,Unknown,,,,,Unknown,,62
US,Unknown,,Web application,,,,,92
AU,,,,,,,,62
US,Unknown,,Web application,,,,,45
US,,,,,,,,92
CA,,,,,Physical access,,,44
US,Unknown,,,,,Personal vehicle,,92
US,Unknown,,,,,Unknown,,62
US,,,,,LAN access,,,62
US,Unknown,,Web application,,,,,51
US,,,,,,Victim work area,,62
US,Unknown,,,,,Unknown,,62
US,Unknown,Unknown,Web application,,Unknown,,,54
US,,,,,,,,62
US,,,,,Physical access,,,52
CA,Unknown,,,,,Victim work area,,61
US,,,,,LAN access,,,62
US,,,,,Unknown,,,62
US,,,,,,,,92
CN,CN,CN,,,LAN access,,Unknown,54
US,Unknown,,Unknown,,,,,52
US,Unknown,,,,,Personal vehicle,,62
US,,,,,Physical access,,,54
RU,Unknown,,Unknown,,,,,51
US,Unknown,,Unknown,,,,,62
US,Unknown,,,,,Unknown,,62
Unknown,Unknown,,Web application,,,,,22
US,Unknown,,,,,,,62
US,,Unknown,,,,,,62
US,US,,,,,Victim work area,,53
US,,,,,LAN access,,,92
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,,,,Victim work area,,56
US,Unknown,,,,,Victim public area,,44
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,,,,Unknown,,62
NG,Unknown,,Unknown,,,,,32
NZ,,,,,,,,92
US,Unknown,,,,,,Email,62
US,,,,,,,,61
GB,Unknown,,,,,Victim work area,,92
IN,PK,,Web application,,,,,51
US,Unknown,,,,,Victim public area,,52
US,,,,,,,,92
TH,UA,,,,,Victim grounds,,52
US,,,,,Physical access,,,44
US,Unknown,,,,,Victim work area,,81
KR,KP,,Backdoor or C2,Direct install,,,Email,52
US,,,,,,,,61
US,Unknown,,,,,Victim public area,,92
US,Unknown,,Web application,,,,,42
US,Unknown,,,,LAN access,,,53
CA,,,,,LAN access,,,92
Unknown,MR,,Unknown,,,,,00
US,,,,,,,,62
US,,,,,LAN access,,,62
IE,,,,,Unknown,,,62
US,Unknown,,Web application,,,,Email,62
US,,,,,,,,52
US,Unknown,,,,,Victim work area,In-person,52
US,,,,,,,,92
US,,US,,,,,,52
US,,,,,LAN access,,,62
US,Unknown,,Web application,,,,,51
NZ,,,,,LAN access,,,62
US,Unknown,,,,,Personal vehicle,,71
US,,,,,,,,62
US,Unknown,,,,,Victim grounds,,52
US,Unknown,,Web application,,,,,51
AU,,,,,Unknown,,,92
AE,Unknown,,Unknown,,,,,48
AG,AF,,Web application,,,,,92
US,Unknown,,,Direct install,,,,44
US,,,,,,,,61
US,,,,,LAN access,,,92
US,,,,,,,,92
US,,,,,,,,92
US,Unknown,,,,,Unknown,,52
US,,,,,LAN access,,,62
GB,US,,Web application,,,,,52
US,,Unknown,,,,,,62
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Unknown,,56
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Victim work area,,62
US,Unknown,,Unknown,,,,,44
GB,,,,,,,,61
US,,,,,LAN access,,,92
US,Unknown,,Unknown,Unknown,,,,71
US,Unknown,,,,,Unknown,,92
US,,,,,,,,92
CH,,,,,LAN access,,,55
US,,,,,,,,92
US,Unknown,Unknown,Unknown,,,,,62
US,,,,,Physical access,,,92
US,Unknown,,,,,Unknown,,62
US,Unknown,,Web application,,,,,56
US,,,,,LAN access,,,62
PH,,,,,,,,92
US,,Unknown,,,LAN access,,,62
US,Unknown,,Web application,,,,,54
US,,,,,,,,92
VE,AR,,Unknown,,,,,92
US,,,,,,,,52
IN,,,,,,,,92
US,Unknown,,,,,,,45
US,Unknown,,Unknown,,,,,92
US,Unknown,,,Unknown,,,,62
US,Unknown,,Unknown,,,,,52
US,Unknown,,,,,Victim work area,,62
US,,Unknown,,,,,,62
US,,,,,,,,92
US,,,,,,,,51
US,,,,,Unknown,Victim work area,,62
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Victim work area,,44
US,,Unknown,,,,,,92
US,,,,,LAN access,,,62
CY,Unknown,,Web application,,,,,51
BO,Unknown,,Web application,,,,,51
US,Unknown,,Web application,,,,,51
US,Unknown,,,,,Personal residence,,62
US,,,,,,,,92
US,Unknown,,,,,Personal vehicle,,52
US,Unknown,,Unknown,,,,,52
US,Unknown,,,,,Unknown,,92
UA,Unknown,,Unknown,,,,,92
US,Unknown,,Web application,,,,,81
US,,,,,Unknown,,,52
US,Unknown,,Web application,,,,,42
GB,Unknown,,Web application,,,,,51
US,,,,,,,,62
US,,,,,,,,71
US,Unknown,,,,,Unknown,,62
US,,,,,LAN access,,,62
US,Unknown,,Web application,,,,,61
US,,,,,,,,61
CA,Unknown,,Web application,,,,,51
US,Unknown,,,,,Unknown,,62
US,,,,,LAN access,,,92
GB,,,,,,,,62
US,,,,,Remote access,,,92
US,,,,,,,,62
GB,,,,,LAN access,,,92
TW,Unknown,,Unknown,Unknown,,,,92
US,,,,,LAN access,,,52
US,,,,,,Privileged access,,92
KW,RU,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,,,,,,62
US,,,,,,,,61
MX,Unknown,,Web application,,,,,92
IE,,,,,,,,52
US,Unknown,,Web application,,,,,51
US,,,,,Physical access,,,62
KR,,,,,Unknown,,,44
CN,CN,,Web application,Direct install,,,,92
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,,,,,,,,92
GB,Unknown,,,,,Victim work area,,62
US,,,,,,,,92
IL,Unknown,,Web application,,,,,61
US,,,,,Physical access,,,62
US,,,,,,,,92
US,Unknown,,,,,,Email,52
US,,,,,LAN access,,,92
GB,GB,,Backdoor or C2,Web drive-by,,,Email,51
US,Unknown,,,,,Unknown,,62
US,Unknown,,,Unknown,,,,61
SE,,,,,,,,62
GB,,,,,,,,53
US,Unknown,,,Unknown,,,,54
US,US,,,,,Victim public area,,52
US,Unknown,,,Unknown,,,,44
GB,Unknown,,,,,,Email,61
ZA,Unknown,,Web application,,,,,51
US,Unknown,,Web application,,,,,44
US,,,,,,,,51
US,Unknown,,,Unknown,,,Software,33
US,,,,,,,,62
US,Unknown,,Unknown,,,,,44
US,Unknown,,,Unknown,,,,31
US,Unknown,,,,,Victim work area,,61
US,Unknown,,Unknown,Unknown,,,,62
TW,,,,,LAN access,,,33
US,,,,,,,,62
US,,,,,,,,81
US,,US,Command shell,,Remote access,,,54
US,Unknown,,,,,Victim public area,,44
US,Unknown,,Web application,,,,,51
CA,,,,,Physical access,,,62
US,Unknown,,Web application,Remote injection,,,,45
NZ,,,,,,,,92
DE,,,,,LAN access,,,51
PE,AR,,Web application,,,,,92
ZA,,ZA,,,,,,51
US,CN,,Unknown,Web drive-by,,,Email,51
CA,Unknown,,Web application,,,,,51
IN,,,,,Unknown,,,92
IE,,,,,,,,92
US,Unknown,,,,,,,44
GB,Unknown,,Backdoor or C2,,,,,54
US,,Unknown,,,Remote access,,,51
IN,IN,,,,Remote access,,,42
US,Unknown,,Unknown,,,,,92
US,Unknown,,Web application,,,,Phone,92
US,Unknown,,,,,Public facility,,52
US,Unknown,,,,,Unknown,,52
PH,Unknown,,Unknown,,,,,61
US,,,,,Physical access,,,92
US,Unknown,,,Unknown,,,,72
US,Unknown,,,,,,Email,62
US,Unknown,,,,,Victim grounds,,44
US,,,,,Physical access,,,54
US,,,,,,,,92
US,Unknown,,Web application,,,,,52
US,,,,,,,,62
US,,,,,,,,92
Unknown,,,,,Unknown,,,00
US,US,US,,,Physical access,Unknown,,92
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Partner vehicle,,62
CA,,,,,LAN access,,,92
US,Unknown,,Unknown,,,,,61
US,,,,,,,,62
US,,,,,LAN access,,,92
AU,,,,,,,,54
US,,,,,,,,62
US,Unknown,,Web application,,,,,54
US,,,,,Other,,,62
US,Unknown,,,,,Personal vehicle,,92
US,,,,,LAN access,,,54
CA,Unknown,,,Web drive-by,,,,62
US,Unknown,,,,,Unknown,,62
GB,,,,,,,,56
US,Unknown,,Web application,,,,,56
US,Unknown,,,Unknown,,,,48
CA,Unknown,,,Unknown,,,,92
US,Unknown,,Web application,,,,,56
US,,,,,LAN access,,,92
US,,,,,LAN access,,,56
US,,,,,,,,62
US,Unknown,,,,LAN access,,,52
US,Unknown,,,,,Victim grounds,,61
GB,Unknown,,Unknown,,,,,54
US,,,,,LAN access,,,62
US,Unknown,,,,,Unknown,,62
CA,Unknown,,Web application,,,,Email,61
US,,,,,,,,51
NZ,,,,,LAN access,,,42
US,Unknown,,Web application,,,,,62
US,Unknown,,,Unknown,,,,62
GB,PK,,Web application,,,,,81
US,UA,,Unknown,,,,,42
US,,,,,,,,92
US,,,,,,,,62
US,,,,,,,,92
US,,,,,,,,62
US,,,,,,,,92
US,Unknown,,,Unknown,,,,62
US,Unknown,,Unknown,,,,,62
US,,,,,,,,92
US,Unknown,,,,,Unknown,,92
US,,,Other,,Physical access,Victim work area,,62
Unknown,Unknown,,Web application,Remote injection,,,,00
US,,,,,LAN access,,,54
GB,,,Unknown,Direct install,,,,56
US,Unknown,,,,,Personal vehicle,,23
US,Unknown,,Unknown,,,,,62
US,,,,,,,,52
US,,,,,Physical access,,Unknown,62
CA,,,,,,,,92
GB,,,,,,,,92
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,,,,,,,,92
US,,,,,Unknown,,,92
US,,,,,Physical access,,,92
US,,,,,,,,92
GB,Unknown,,,,,Victim work area,,42
CA,Unknown,,Web application,,,,,51
US,,,,,LAN access,,,92
US,Unknown,,Unknown,,,,,62
US,,,,,,,,61
US,Unknown,,,,,Victim secure area,,62
GB,Unknown,,Unknown,Unknown,,,Email,62
US,Unknown,,Web application,,,,,52
CA,,,,,Physical access,,,62
US,,,,,LAN access,,,92
US,,,,,LAN access,,,62
NL,,,,,,,,51
US,Unknown,,Web application,,,,,42
Unknown,Unknown,,,,,,Email,62
US,,,,,,Partner facility,,62
US,Unknown,,,,,Victim public area,,52
US,,,,,,,,51
UA,Unknown,,Web application,,,,,51
IN,PK,,Web application,,,,,81
US,,,,,,,,33
US,,,,,,,,92
DK,,,,,LAN access,,,92
US,US,,,,,Victim work area,,62
US,Unknown,,Web application,,,,,62
US,,,,,,,,92
US,,,,,,,,92
AZ,RU,,Backdoor or C2,Email attachment,,,Email,54
CA,,,,,,,,62
CO,,CO,,,,,,52
AU,,,,,Physical access,,,92
CN,Unknown,,,Email unknown,,,Email,48
US,Unknown,,Unknown,Direct install,,,,72
CA,,,,,Physical access,,,62
US,Unknown,,Unknown,,,,,52
US,,,,,LAN access,,,62
US,CN,,Web application,,,,,81
US,,,,,,,,62
US,Unknown,,,,,Victim work area,,62
CA,,,,,,,,62
JP,,,,,LAN access,,,51
US,,,,,,,,52
US,Unknown,,Unknown,,,,,61
IN,,,,,,,,48
AR,AR,,Web application,,,,,92
TW,,,,,LAN access,,,33
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Victim work area,,92
US,,,,,LAN access,,,92
US,,,,,,,,92
US,Unknown,,,,,,,92
NZ,,,,,,,,54
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,,,,,LAN access,,,62
US,Unknown,,Unknown,,,,,92
US,Unknown,,,,,Unknown,,62
US,,,,,,,,62
US,,,,,,,,52
US,,,,,LAN access,,,62
US,Unknown,,Web application,,,,,45
US,,,,,LAN access,,,62
US,Unknown,,,,,Partner facility,,62
US,,,,,Physical access,,,62
US,Unknown,,,,,,Email,92
KP,Unknown,,Web application,,,,,92
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
NL,Unknown,,Unknown,,,,,51
JP,CN,,Unknown,,,,,92
GB,Unknown,,,,,Unknown,,62
US,,,,,,,,62
US,,,,,LAN access,,,52
US,Unknown,,,Direct install,Remote access,,,51
US,,,,,LAN access,Victim work area,,92
US,,,,,LAN access,,,71
US,Unknown,,Web application,,,,,61
ZA,Unknown,,Unknown,,,,,51
US,,,,,,,,62
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Personal vehicle,,62
US,Unknown,,Web application,Unknown,,,,45
US,,,,,,,,92
US,,,,,,,,92
NZ,,,,,,,,92
AR,Unknown,,Unknown,,,,,72
US,Unknown,,Backdoor or C2,Email link,,,Email,54
GB,Unknown,,Unknown,,,,,54
Unknown,Unknown,,,Unknown,,,,52
GB,,,,,,,,62
US,,,,,LAN access,,,61
GB,Unknown,,,Unknown,,,,62
US,,,,,Unknown,,,62
US,,,,,,,,92
US,,,,,Unknown,,,62
CA,,,,,LAN access,,,62
GB,,,,,LAN access,,,52
NZ,,,,,,,,62
US,Unknown,,,,,Victim secure area,,62
US,,,,,LAN access,,,92
US,,,,,Physical access,,,62
US,,,,,,,,92
US,,,,,,,,92
US,Unknown,,,,,Victim grounds,,44
US,US,,,,,Victim work area,,62
FR,Unknown,,Web application,,,,,51
LB,RU,,Backdoor or C2,Email attachment,,,Email,92
DK,RU,,Unknown,,,,,52
US,,,,,,,,62
GB,,Unknown,,,Physical access,,,53
CA,Unknown,,,,,Victim work area,,62
FR,Unknown,,Unknown,,,,,51
US,,,,,Physical access,,,62
US,Unknown,,Unknown,,,,,62
US,Unknown,,Unknown,,,,,31
US,,,,,,,,62
US,,,,,Unknown,,,62
US,,,,,,,,62
KR,,,,,,,,44
US,Unknown,,,,,Personal vehicle,,62
US,Other,,Web application,,,,,52
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,,,,,,,,44
US,,,,,,,,92
US,,,,,,,,92
US,Unknown,,,,,Victim grounds,,44
US,Unknown,,Unknown,Unknown,,,,72
US,Unknown,,Unknown,,,,,61
US,,,,,LAN access,,,92
US,Unknown,,,,,Victim work area,,62
US,PK,,Web application,,,,,51
Unknown,Unknown,,Web application,,,,,00
US,Unknown,,Unknown,,,,,52
US,,,,,,Privileged access,,49
US,Unknown,,,,,Personal residence,,54
US,,,,,Physical access,,,92
GB,,,,,,,,62
US,,,,,,,,81
US,,,,,,,,92
RU,RU,,Backdoor or C2,Email attachment,,,Email,92
PR,,,,,,,,92
CA,Unknown,,,,,Unknown,,62
GB,,,,,,,,51
US,,,,,,,,44
US,Unknown,,Web application,,,,,51
US,Unknown,,,,,,Email,52
CA,Unknown,,Unknown,Unknown,,,,62
US,,,,,,,,92
US,Unknown,,,Email attachment,,,Email,51
GB,,,,,,,,62
BN,RU,,Backdoor or C2,Email attachment,,,Email,92
US,,Unknown,,,LAN access,,,62
US,,,,,,,,52
US,,,,,,,,52
US,,,,,Unknown,,,62
US,,,,,,,,92
US,Unknown,,,,,Partner facility,,62
US,Unknown,,,,,Public facility,,45
US,,,,,,,,62
CA,CA,,Unknown,,,,,61
US,,,,,,,,62
US,,,,,,,,62
US,Unknown,,,,,Personal vehicle,,62
US,,,,,,,,92
LT,,,,,,,,51
US,,,,,LAN access,,,92
GB,,,,,,,,92
US,US,,,,LAN access,,,54
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,Web application,,,,,51
AU,Unknown,,,,,,,51
US,SY,,Web application,,,,,00
US,,,,,Physical access,,,72
Unknown,,,,,,,,00
US,,,,,LAN access,,,92
BD,Unknown,,,,,Public facility,In-person,52
US,,,,,,,,62
US,,,,,,,,44
US,Unknown,,Web application,,,,,62
US,Unknown,,,,,Unknown,,62
US,Unknown,,Unknown,,,,,62
CA,Unknown,,,,,Victim work area,,62
US,Unknown,,,,,Partner vehicle,,92
US,,US,,,,,,62
CN,Unknown,,,Direct install,,,,33
JP,Unknown,,Web application,,,,,44
US,,,,,,,,61
GB,,,,,,,,62
US,,,,,,,,56
Unknown,Unknown,,Unknown,,,,,51
US,,,,,,,,62
US,,,,,,,,71
US,Unknown,,,,,Unknown,,52
US,Unknown,,,,,Victim work area,,62
US,Unknown,,,,,Personal vehicle,,92
PR,Unknown,,,,,Unknown,,52
US,,,,,,,,92
IE,Unknown,,3rd party desktop,,,,,51
MX,,,,,,,,62
US,Unknown,,,,Physical access,Personal vehicle,,62
US,US,,,,LAN access,,,92
US,Unknown,,Unknown,,,,,44
GB,,,,,,,,62
CA,Unknown,,Unknown,,,,,71
US,Unknown,,,,,Victim work area,,62
US,,,,,LAN access,,,92
US,Unknown,,,,,Victim grounds,,52
US,Unknown,,,,,Unknown,,62
US,Unknown,,Web application,,,,,56
US,Unknown,,Unknown,Direct install,,,,72
IE,Unknown,,Unknown,,,,,51
US,,,,,LAN access,,,62
US,Unknown,,,,,,,62
US,,,,,,Victim work area,,49
US,,,,,Physical access,,,33
US,,,,,Physical access,,,72
US,Unknown,,,Unknown,,,,62
SY,Unknown,,Web application,,,,,51
US,Unknown,,,,,Personal vehicle,,53
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
GB,Unknown,,Web application,Unknown,,,,44
US,,,,,,,,44
TH,Unknown,,Unknown,,,,,92
US,,,Physical access,,,Victim work area,In-person,92
US,US,,,,,Partner facility,,45
US,,,,,,,,62
US,,,,,,,,92
US,,,,,Unknown,,In-person,23
US,,,,,LAN access,,,62
GB,,,Unknown,,,,,62
NZ,Unknown,,Unknown,,,,,54
US,US,,Other,,,,,48
CA,,,,,LAN access,,,62
NP,IR,,Unknown,,,,,92
US,,,,,Physical access,,,52
US,UA,,Unknown,,,,,62
US,Unknown,,,Web download,,,Website,51
US,,,,,,,,92
US,Unknown,,Unknown,,,,,62
KZ,RU,,Backdoor or C2,Email attachment,,,Email,54
GB,,,,,,,,92
US,,,,,,,,92
US,,,,,,,,61
US,Unknown,,Unknown,Direct install,,,,72
US,Unknown,,Web application,,,,,54
US,Unknown,,,,,Unknown,,62
US,,,,,LAN access,,,62
US,,,,,,,,92
RU,Unknown,,,,,,,51
US,Unknown,,Web application,,,,,45
US,,,,,,,,92
Unknown,Unknown,,Web application,,,,,51
US,,,,,Physical access,,,62
DE,Unknown,,,Unknown,,,,92
SD,Unknown,,Web application,,,,,51
US,,,,,,,,92
GB,Unknown,,Web application,,,,,54
US,RU,,Web application,Direct install,,,,52
US,Unknown,,Unknown,Direct install,,,,72
US,,,,,,,,62
VN,PK,,Web application,,,,,00
US,,,,,,,,52
US,Unknown,,Web application,,,,,92
US,Unknown,,Unknown,,,,,92
US,Unknown,,Unknown,,,Personal vehicle,,62
GT,Unknown,,,,Unknown,,,54
US,,,,,,,,51
US,,,,,,,,92
US,,,,,,,,51
GB,,,,,,,,52
US,,,,,Physical access,,,62
US,,,,,Physical access,,,62
US,Unknown,,,,,Unknown,,62
US,,,,,LAN access,,,92
US,,,,,,,,62
US,Unknown,,Web application,,,,,45
ID,RU,,Backdoor or C2,Email attachment,,,Email,92
IE,Unknown,,Unknown,,,,,51
GB,,,,,LAN access,,,56
US,Unknown,,Unknown,,,,,33
US,,,,,Unknown,,,61
US,,,,,LAN access,,,52
IN,,IN,,,Physical access,,Unknown,61
US,Unknown,,Unknown,,,,,33
CA,Unknown,,Web application,,,,Unknown,56
US,Unknown,,Unknown,,,,,54
CN,Unknown,,Web application,,,,,62
GB,,,,,,,,62
GB,,,,,,,,62
US,,,,,,,,92
US,Unknown,,,,LAN access,,,62
US,Unknown,,,,,Victim work area,,00
NZ,,,,,LAN access,,,92
US,,,,,,,,92
US,,,,,LAN access,,,92
US,,,,,,,,51
US,,,Unknown,,,,,51
US,,,,,Unknown,,,62
GB,,,,,,,,62
US,Unknown,,,,,Personal vehicle,,62
IN,,IT,,,Non-corporate,,,33
RU,,RU,,,,,,51
US,Unknown,,Web application,,,,,51
CA,,,,,,,,81
US,Unknown,,Web application,,,,,51
US,Unknown,,,,,Personal vehicle,,62
CZ,Unknown,,Backdoor or C2,Email attachment,,,Email,92
CA,,,,,Physical access,,,81
NZ,,,,,,,,52
AF,RU,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,Web application,,,,,51
US,,,,,,,,92
US,Unknown,,,,,Victim public area,,52
US,Unknown,Unknown,,,,,,62
US,Unknown,,,Unknown,,,,54
US,US,,Unknown,,,,,51
US,TR,,Web application,,,,,52
US,,,,,LAN access,,,62
AU,Unknown,,,,,Personal vehicle,,62
US,Unknown,US,,,,,Phone,62
US,,,,,,,,52
US,Unknown,,,Unknown,,,,62
US,Unknown,,Unknown,,,,,62
GB,,,,,LAN access,,,62
US,Unknown,,,,,Personal vehicle,,62
TH,Unknown,,Web application,,,,,92
GB,GB,,Web application,,,,,81
US,Unknown,,,,,Victim work area,,61
US,,,,,,,,92
US,Unknown,,Unknown,Unknown,,,,22
US,,,,,LAN access,,,62
US,,,,,Remote access,,,62
US,,,,,LAN access,,,92
US,,,,,,,,92
US,,,,,,,,52
US,Unknown,,,,,Unknown,,52
KE,Unknown,,Web application,,,,,92
US,,,,,,,,61
MX,,,,,,,,52
GB,Unknown,,Web application,,,,,54
US,Unknown,,Unknown,,,,,62
US,,,,,LAN access,,,56
US,,,,,,,,92
IE,,,,,,,,62
IN,,,,,,,,92
US,RU,,Web application,Direct install,,,,45
US,,Unknown,,,,,,61
US,CN,,Backdoor or C2,Direct install,,,,54
Unknown,Unknown,,,,Physical access,,,81
US,,,,,,,,52
US,,,,,,,,61
AU,Unknown,,,,,Victim work area,,62
CA,,,,,,,,62
US,Unknown,,Unknown,,,,,62
US,,,,,,,,92
US,Unknown,,Web application,,,,Documents,52
US,,,,,,,,92
US,Unknown,,,Unknown,,,,62
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Personal vehicle,,62
US,Unknown,,,,,Personal vehicle,,61
US,Unknown,,Unknown,,,,,62
US,,,,,,,,92
US,,,,,LAN access,,,62
US,Unknown,,Unknown,,Unknown,Victim grounds,In-person,51
US,,,,,,,,92
US,Unknown,,,,,Partner facility,,62
US,Unknown,,,Email attachment,,,Email,62
DK,Unknown,,Unknown,,,,,54
US,,,,,,,,92
KH,KH,,Unknown,,,,,92
AU,,,,,,,,54
US,,,,,,,,61
TR,TR,,Unknown,,,,,92
US,Unknown,,Web application,,,,,51
US,Unknown,,Web application,Direct install,,,,31
US,,,,,,,,54
US,Unknown,,,Unknown,,,,92
US,,,,,,,,92
US,Unknown,,Unknown,,,,,92
US,Unknown,,Web application,,,,,62
US,,,,,,,,44
FI,Unknown,,Other,,,,,52
AU,Unknown,,Web application,,,,,56
US,Unknown,,Web application,,,,,44
US,,,,,,Victim work area,,72
US,,,,,LAN access,,,62
KR,KP,,Backdoor or C2,Direct install,,,Email,52
US,Unknown,,,,,Public facility,,52
US,,,,,Other,,,92
AU,,,,,,,,92
US,,,,,,,,92
US,,,,,,,,61
US,US,,Web application,,,,,52
US,,US,,,LAN access,,,44
AU,Unknown,,Unknown,,,,,51
US,,,,,,,,92
GB,,,,,,Victim secure area,,92
US,,,,,,,,92
AU,,,,,LAN access,,,92
US,,,,,,,,92
US,SA,,Web application,,,,,62
CA,,,,,,,,62
US,,US,,,,,,62
US,Unknown,,Web application,,,,,51
US,,,,,LAN access,,,62
CA,,,,,LAN access,,,62
AU,Unknown,,Unknown,,,,,62
BD,IR,,Web application,,,,,61
US,Unknown,,Unknown,,,,,62
US,,,,,,,,62
US,Unknown,,,,,,,52
US,,,,,LAN access,,,62
US,Unknown,,,,,Victim public area,,44
US,Unknown,,Web application,,,,,51
US,,,,,,,,62
US,Unknown,,Web application,Unknown,,,,56
US,,US,,,,,,52
AU,,,,,,,,92
US,Unknown,,Web application,,,,Email,92
GB,Unknown,,Web application,,,,,45
US,BR,,,,,Victim public area,,52
IN,PK,,Web application,,,,,00
GB,Unknown,,Unknown,,,,Unknown,51
US,Unknown,,Web application,Direct install,,,,45
US,,,,,Unknown,,,62
GB,,,,,,,,62
US,Unknown,,Unknown,Email link,,,Email,62
US,,US,,,,,,92
JP,Unknown,,Web application,,,,,11
US,,,,,LAN access,,,92
US,Unknown,,Unknown,,,,,62
US,,,,,Unknown,,,62
US,Unknown,,,,,,,92
US,,,,,LAN access,,,62
IN,,,,,,,,62
US,,,,,LAN access,,,56
US,,,,,,,,51
US,,,,,,,,44
CA,,,,,LAN access,,,92
US,,,,,Physical access,,,72
US,,Unknown,,,,,,62
US,Unknown,,,Unknown,,,,62
US,,Unknown,Partner,,,,,62
US,Unknown,,,,,Victim work area,,62
TR,RU,,Backdoor or C2,Email attachment,,,Email,92
CA,Unknown,,,,,Personal vehicle,,62
US,Unknown,,Web application,Unknown,,,,62
US,Unknown,,,,,Victim public area,,52
IN,,,,,,,,51
US,,,,,,,,62
US,Unknown,,Unknown,,,,,62
AU,Unknown,,,,,Victim grounds,,00
NZ,,,,,,,,92
US,,,,,Unknown,,,72
US,Unknown,,,,,Victim work area,,62
US,,,,,,,,00
AU,,,,,,,,92
US,,,,,,,,52
US,CN,,Unknown,Web drive-by,,,Email,33
Unknown,Unknown,,Web application,,,,,51
US,,,,,,,,51
CH,Unknown,,Unknown,,,,,31
CA,,,,,,,,81
US,,,,,LAN access,,,62
US,Unknown,,Unknown,Direct install,,,,72
TR,Unknown,,Unknown,,,,,52
SG,,,,,,,,54
CA,,,,,LAN access,,,62
US,Unknown,,,,,Victim public area,,52
TW,Unknown,,Web application,Unknown,,,,92
US,Unknown,,,,,Victim work area,,62
AU,Unknown,,Web application,,,,Email,53
US,Unknown,,Unknown,,,,,33
PA,Unknown,,Web application,,,,,51
US,,,,,,,,62
US,,,,,LAN access,,,92
Unknown,,,,,,,,51
US,,,,,,Privileged access,,62
CA,CA,,Web application,,,,,00
US,,,,,LAN access,,,92
Unknown,,KP,,,Other,,,00
US,Unknown,,,,,Other,,52
KR,GB,,Backdoor or C2,Web drive-by,,,Email,51
US,Unknown,,Web application,,,,,61
MY,,Unknown,,,,,,62
GB,,,,,LAN access,,,92
NL,GB,,Backdoor or C2,Web drive-by,,,Email,51
US,Unknown,,,,,Victim work area,,62
US,Unknown,,,,,Victim grounds,,44
AU,,,,,,,,92
GB,,,,,,,,52
US,Unknown,,,Email attachment,,,Email,92
US,,US,,,,,,92
US,Unknown,,Web application,,,,,71
CL,CL,,Web application,,,,,92
US,Unknown,,,,,Unknown,,61
US,,,,,Physical access,,,52
US,,,,,,,,92
US,Unknown,,,,,,,61
US,,,,,LAN access,,,44
US,,,,,,,,92
US,Unknown,,,,,Victim work area,,62
AU,,,,,,,,51
US,Unknown,,Web application,,,,,51
US,,,,,LAN access,,,62
US,Unknown,,Web application,,,,Email,62
CA,,,,,LAN access,,,52
US,US,,,,,Unknown,,62
BD,Unknown,,,,Physical access,,Unknown,92
RU,Unknown,,Unknown,,,,,00
TR,Unknown,,Web application,,,,,92
US,,,,,,,,51
US,Unknown,Unknown,,,Remote access,,,92
US,,,,,,,,52
GB,Unknown,,,,,Personal vehicle,,92
US,,,,,LAN access,,,92
US,,,,,LAN access,,,62
US,IR,Unknown,Unknown,,,Partner facility,Unknown,81
CA,,,,,LAN access,,,62
CA,,,,,,Victim work area,,62
CA,,,,,Physical access,,,44
US,,,,,,,,54
US,,,,,,,,92
Unknown,Unknown,,Web application,,,,,51
